username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
JagranNews,10/29/2019 11:15,6,59,आतंक का पर्याय बने आइएस सरगना अल बगदादी के खात्मे के बाद भी चुनौती कायम # JagranOpinion # JagranEditorial # BaghdadiDiedLikeADog # BaghdadiKilled # Apnibaat # NewYorkTimeshttps://www.jagran.com/editorial/apnibaat-challenge-remains-even-after-the-elimination-of-is-kingpin-al-baghdadi-19706474.html …,,,# # # # # #,1.18906E+18,https://twitter.com/JagranNews/status/1189063061451112448
PurohitVishwas,10/29/2019 11:11,0,0,दुनियाभर में तबाही मचाने वाला यह संगठन रोज कमाता है 10 करोड़,,,,,
JagranNews,10/29/2019 11:00,4,27,इराक की गलियों का साधारण-सा गुंडा जानें कैसे बना बर्बर आतंकी संगठन का क्रूर सरगना # BaghdadiDiedLikeADog # BaghdadiKilled # ISIS # ISISChiefBaghdadi # Syria https://www.jagran.com/world/middle-east-abu-bakr-al-baghdadi-isis-chief-know-more-about-him-jagran-special-19707123.html …,,,# # # # #,1.18906E+18,https://twitter.com/JagranNews/status/1189059287357652992
NadiaRe71765263,10/29/2019 10:59,0,2,Surprising # NewYorkTimes @ nytimes termed him religious # Guru Hope # ISIS and # JMB are eliminated from # Bangladesh # BaghdadiDiedLikeADog # BaghdadiKilled,,@,# # # # # # #,1.18906E+18,https://twitter.com/NadiaRe71765263/status/1189059177781571584
TheGloriousA,10/29/2019 10:54,0,2,Trump's Idea to Find ISIS Headquarters by Searching Middle East for TV Viewing CNN Works Like a Charm Full Story: https://bit.ly/36fWusM # BaghdadiDiedLikeADog # BaghdadiKilled # ISISleaderDeadpic.twitter.com/3R1k0wQZZQ,,,# # #,1.18906E+18,https://twitter.com/TheGloriousA/status/1189058000993996801
DJOYLOOPER,10/29/2019 10:54,0,1,Which language is this song ? Can anyone tell me please ? https://twitter.com/shefvaidya/status/1189053374047506432?s=21 … # Peacefools # GodMorning_MeatEaters # BaghdadiDiedLikeADog # जनसंख्या_नियंत्रण_कानुन # PopulationControlLaw # BaghdadiKilled # Baghdadi,,,# # # # # # #,1.18906E+18,https://twitter.com/DJOYLOOPER/status/1189057867363450885
EmOikonomidis,10/29/2019 10:45,0,0,Το σκυλί που κυνήγησε τον Μπαγκντάντι… έβαλε ιδέες στο Twitter https://ysterografa.gr/%cf%84%ce%bf-%cf%83%ce%ba%cf%85%ce%bb%ce%af-%cf%80%ce%bf%cf%85-%ce%ba%cf%85%ce%bd%ce%ae%ce%b3%ce%b7%cf%83%ce%b5-%cf%84%ce%bf%ce%bd-%ce%bc%cf%80%ce%b1%ce%b3%ce%ba%ce%bd%cf%84%ce%ac%ce%bd%cf%84%ce%b9/ … # Ysterografa # Υστερογραφα # Trump # Trump2020 # Trump2020LandslideVictory # CONAN # Baghdadi # AlBaghdadiDead # BaghdadiKilled # BaghdadiDiedLikeADog,,,# # # # # # # # # #,1.18906E+18,https://twitter.com/EmOikonomidis/status/1189055529106264064
JagranNews,10/29/2019 10:45,10,44,दुनियाभर में तबाही मचाने वाला यह संगठन रोज कमाता है 10 करोड़,,,,,
ysterografa,10/29/2019 10:44,0,0,Το σκυλί που κυνήγησε τον Μπαγκντάντι… έβαλε ιδέες στο Twitter https://ysterografa.gr/%cf%84%ce%bf-%cf%83%ce%ba%cf%85%ce%bb%ce%af-%cf%80%ce%bf%cf%85-%ce%ba%cf%85%ce%bd%ce%ae%ce%b3%ce%b7%cf%83%ce%b5-%cf%84%ce%bf%ce%bd-%ce%bc%cf%80%ce%b1%ce%b3%ce%ba%ce%bd%cf%84%ce%ac%ce%bd%cf%84%ce%b9/ … # Ysterografa # Υστερογραφα # Trump # Trump2020 # Trump2020LandslideVictory # CONAN # Baghdadi # AlBaghdadiDead # BaghdadiKilled # BaghdadiDiedLikeADog,,,# # # # # # # # # #,1.18906E+18,https://twitter.com/ysterografa/status/1189055402614444033
prabhasakshi,10/29/2019 10:41,0,0,ISIS के खूंखार बगदादी को मारने के बाद उसके शव का अमेरिका ने किया कुछ ऐसा... # BaghdadiDiedLikeADog # Baghdadi # BaghdadiKilled http://bit.ly/2Ptkdj2,,,# # #,1.18905E+18,https://twitter.com/prabhasakshi/status/1189054504592924672
ViShNu_SiNgH74,10/29/2019 10:38,0,0,"# BreakingNews Baghdadi has just landed in jannat"" # BaghdadiDiedLikeADog # BaghdadiKilled # BaghdadiDeadpic.twitter.com/nHkgWWwA55""",,,# # # #,1.18905E+18,https://twitter.com/ViShNu_SiNgH74/status/1189053778701377537
SaneenJavali,10/29/2019 10:29,0,1,Spencer Ackerman,,,,,
democracy_in,10/29/2019 10:29,0,0,Good to see a terrorist is killed but failed to understand how come a terrorist with arms n ammunition couldn't shot the dog n chosen suicide!? Fact? or fiction of 2nd grade Bollywood movie? # BaghdadiKilled,,,#,1.18905E+18,https://twitter.com/democracy_in/status/1189051493757804544
mullahuakbar,10/29/2019 10:28,0,1,# BaghdadiDiedLikeADog # BaghdadiKilled # ISISleaderDead # ISISleaderDead,,,# # # #,1.18905E+18,https://twitter.com/mullahuakbar/status/1189051451403730944
Kevin_Feels_Joy,10/29/2019 10:22,0,1,S&P just hit an ALL TIME HIGH. Our Country is doing great. Killed long sought ISIS murderer,,,,,
mr_sanam_,10/29/2019 10:15,0,0,Modi aur Trump Milkar Puri Duniya ka Chutiya kaat rhe hain BC. Aur ek Hum Hai Apne hi katwaye baithe hai. # BaghdadiKilled,,,#,1.18905E+18,https://twitter.com/mr_sanam_/status/1189048124712484865
RefractConsult1,10/29/2019 10:14,0,0,Do you think US claiming Al-Baghdadi’s death during US military’s raid on Islamic State is true? # ISISleaderDead # BaghdadiDiedLikeADog # BaghdadiKilled # trump # USArmy # BaghdadiDead # BaghdadiIsDead # Baghdadideadagain,,,# # # # # # # #,1.18905E+18,https://twitter.com/RefractConsult1/status/1189047774186065920
dibuTweets,10/29/2019 10:09,0,0,Interestingly,,,,,
adivijesantos01,10/29/2019 10:08,0,1,आप तो भगवान के दिए हुये मायी पापा के लाल हो।। अगर # Deepavali के इधर या उधर दिनांक @ USArmy # BaghdadiKilled बगदादी को मार देते।। हम काफिर हिन्दु गर खूंखार जिहादी आतंकवादी मरने पर # फटाखा फोड़ते बहुत से यहां जिहादवादी # kamleshtiwarilynched जैसा प्रयास करते‌।।,,@,# # # #,1.18905E+18,https://twitter.com/adivijesantos01/status/1189046248084393984
mestrate,10/29/2019 10:08,1,4,# terrorism # ISIS # BaghdadiKilled https://twitter.com/realDonaldTrump/status/1188909031403900928 …,,,# # #,1.18905E+18,https://twitter.com/mestrate/status/1189046218950938624
ShubhamKotiya2,10/29/2019 10:02,0,0,Baghdadi kahin @ undertaker to nahi Bar-Bar mar kr bhi Zinda ho jata hai. Aur uth kr kehta hai Abhi Hum Zinda hai # BaghdadiKilled,,@,#,1.18904E+18,https://twitter.com/ShubhamKotiya2/status/1189044791763292161
CaptainHottub,10/29/2019 10:01,1,2,# ISIS # BaghdadiKilled # roflpic.twitter.com/wQxmIzbU10,,,# # #,1.18904E+18,https://twitter.com/CaptainHottub/status/1189044586641022977
GuptaG_,10/29/2019 10:00,0,0,बगदादी कितनी बार मरेगा # BaghdadiKilled https://twitter.com/kajal_jaihind/status/1188876951378751490 …,,,#,1.18904E+18,https://twitter.com/GuptaG_/status/1189044194876116992
Sreekan69929322,10/29/2019 9:59,0,0,I hv few questions on behalf of @ SitaramYechury on # BaghdadiKilled 1. Whr is Baghdadi's deadbody 2. Whr is video of the attack 3. From which airports did US seals takeoff n land 4. Why is Trump announcing this when it is army who did it. Can anyone help pls @ mohandastg,,@ @,#,1.18904E+18,https://twitter.com/Sreekan69929322/status/1189044106778955777
news24tvchannel,10/29/2019 9:56,1,13,राष्ट्रपति ट्रंप ने बगदादी को मारने वाले कुत्ते की तस्वीर की ट्वीट # BaghdadiKilled # BaghdadiDiedLikeADog @ POTUS https://hindi.news24online.com/news/us-president-donald-trump-tweet-dog-photo-baghdadi-killed-34c83822/ …pic.twitter.com/SLmEUY247u,,@,# #,1.18904E+18,https://twitter.com/news24tvchannel/status/1189043247428993026
AnnuKaushik253,10/29/2019 9:54,0,0,The heroic dog who chased # Baghdadi. Pic- Daily Wire # alBaghdadi # BaghdadiKilled # Syria # ISIS # ISISleaderDeadpic.twitter.com/hPlj4NtDLe,,,# # # # # #,1.18904E+18,https://twitter.com/AnnuKaushik253/status/1189042746201268224
falana_dhimaka,10/29/2019 9:52,6,31,अंतरराष्ट्रीय पटाखा उत्पादक और थोक विक्रेता स्वर्गीय बगदादी सीरिया वाले अब हमारे बीच नही रहे । अन्तत: 72 हूरों के पास पहुंच गए,,,,,
RaiAtulRai,10/29/2019 9:49,0,0,The # ISIS ideology is the real villain. Killing of # Baghdadi may create a set back but,,,,,
saketsarkate07,10/29/2019 9:42,0,0,Great job mr.doggy # BaghdadiKilled # BaghdadiDiedLikeADogpic.twitter.com/GOE7JEmxXr,,,# #,1.18904E+18,https://twitter.com/saketsarkate07/status/1189039906611290116
Mehnaz_Amjad,10/29/2019 9:39,0,0,How does it matter # BaghdadiIsDead or # BaghdadiKilled There are millions being killed in # Syria Who takes responsibility of this kind of injustice ,,,,,
Sreekan69929322,10/29/2019 9:38,0,0,Had India managed to kill Dawood before the Parliament elections in a way similar to how # BaghdadiKilled,,,,,
Mehnaz_Amjad,10/29/2019 9:36,0,0,Obama killed Osama in a land belonging to neither of them. Trump is happy to kill Baghdadi . No one saw ,,,,,
saleemsamad,10/29/2019 9:36,0,1,# Russia wants “reliable” data about the official claim on # ISISleader # BaghdadiKilled also confused when # USA President # DonaldTrump thanked # Russia others for successful operationhttps://www.jpost.com/Middle-East/ISIS-leader-Baghdadi-dead-Russia-wants-more-proof-606039 …,,,# # # # # #,1.18904E+18,https://twitter.com/saleemsamad/status/1189038169661952001
AmarUjalaNews,10/29/2019 9:34,1,52,अमेरिका ने ISIS सरगना बगदादी के शव के साथ क्या किया,,,,,
akashrai_3575,10/29/2019 9:31,0,2,President Donald J. Trump spoke with Crown Prince Mohammad Bin Salman of the Kingdom of Saudi Arabia. The Crown Prince congratulated the President on the United States successful mission to bring ISIS founder and leader Abu Bakr al-Baghdadi to justice. # BaghdadiKilled,,,#,1.18904E+18,https://twitter.com/akashrai_3575/status/1189036938864386050
iamjayshukla,10/29/2019 9:28,0,0,THREAD on # BaghdadiKilled 1)Death of # Baghdadi definitely goes beyond strategic success. It is the loss of the ideologue for # ISIS as he acted as the point of singularity in a chaotic civil war in # Syria thats why multiple players felt the urgency to destroy him.,,,# # # #,1.18904E+18,https://twitter.com/iamjayshukla/status/1189036191099817984
vox_populi2020,10/29/2019 9:24,0,0,Another way of looking at # BaghdadiKilled https://twitter.com/GravelInstitute/status/1188499472856371206 …,,,#,1.18904E+18,https://twitter.com/vox_populi2020/status/1189035193941626880
Sachin3S,10/29/2019 9:23,0,1,Pic1: Main Hero of # BaghdadiKilled Pic2: Main Beneficent of # BaghdadiDiedLikeADog Pic3: # India me mujhe bhi Credit ki Bhik de do pic.twitter.com/8pOyxkrmF0,,,# # #,1.18904E+18,https://twitter.com/Sachin3S/status/1189035092989095938
Argo_FUS,10/29/2019 9:23,0,1,@ realDonaldTrump you have great sense of trolling entire generation terriost. # DieLikeaDog # BaghdadiDiedLikeADog # BaghdadiKilled pic.twitter.com/KF7LCe9K5q,,@,# # #,1.18903E+18,https://twitter.com/Argo_FUS/status/1189034945026482181
ShivansMaharaj,10/29/2019 9:19,1,2,# Bagdadi was killed by this dog. With this,,,,,
Elza_Aliva,10/29/2019 9:19,0,0,Ditenggelamin... https://katusba.com/katusbanews/termutilasi-jasad-pemimpin-isis-baghdadi-ditenggelamkan-di-laut-lepas/ … # ISISleaderDead # ISISleader # BaghdadiKilled # BaghdadiIsDead,,,# # # #,1.18903E+18,https://twitter.com/Elza_Aliva/status/1189033967594299393
drjhavn1,10/29/2019 9:18,1,1,"# BaghdadiKilled Islamic terrorists are like रक्त-बीज"" demons whom divine mother Durga had to wipe out. As long as Quran keeps ""Jihad"" as one of its 7 tenets of Islam",,,,,
deep_sharma100,10/29/2019 9:17,0,1,# ISIS चीफ बगदादी ( # BaghdadiKilled ) कुत्ते की मौत मारा गया।। क्या अब @ RahulGandhi @ ArvindKejriwal @ yadavakhilesh @ priyankagandhi @ INCIndia अमेरिका से सबूते मांगेंगें?? @ sudhirchaudhary @ ZeeNews # Congrats_US,,@ @ @ @ @ @ @,# # #,1.18903E+18,https://twitter.com/deep_sharma100/status/1189033556435038209
JagranNews,10/29/2019 9:17,29,322,लादेन की तरह बगदादी के शव को भी बेहद गोपनीय तरीके से लगाया गया ठिकाने # BaghdadiDiedLikeADog # BaghdadiKilled # ISISChiefBaghdadi # BaghdadiDeadBodyDecomposedhttps://www.jagran.com/world/america-pentagon-said-that-baghdadi-remains-disposed-of-in-accordance-with-law-of-armed-conflict-19707022.html …,,,# # # #,1.18903E+18,https://twitter.com/JagranNews/status/1189033546540695552
aneilpandey,10/29/2019 9:13,0,1,ट्रंप ने शेयर की अमेरिकी सेना के कुत्ते की तस्वीर,,,,,
Vishalsrivas,10/29/2019 9:12,0,0,ट्रंप ने शेयर की अमेरिकी सेना के कुत्ते की तस्वीर,,,,,
Oneindia,10/29/2019 9:09,1,0,# OneindiaPolls | Will death of Baghdadi reduce ISIS presence in India? # BaghdadiKilled # ISISleaderDead,,,# # #,1.18903E+18,https://twitter.com/Oneindia/status/1189031494901092353
SyedZaeemZama,10/29/2019 9:09,0,1,Baghdadi was a scumbag but people who are abusing Indian Muslims for this are no different either # BaghdadiKilled,,,#,1.18903E+18,https://twitter.com/SyedZaeemZama/status/1189031430912794626
NotSoIntel,10/29/2019 9:06,1,2,I saw this first as sponsored content on my feed from # Popeyes Now the official # CNN handle is promoting # PopeyesChickenSandwich Seems the # media # Presstitutes ran out of sponsors after # BaghdadiKilled Just trying to link some dots...,,,# # # # # #,1.18903E+18,https://twitter.com/NotSoIntel/status/1189030777939382272
Nkrajpu49336446,10/29/2019 9:03,0,0,सभी हरामखोर जान बचाने सुरंगों में छिप गए। क्या सद्दाम,,,,,
alishaikh3310,10/29/2019 9:03,0,3,I seriously don't understand why do people compare two terrorists with each other ? Why are they comparing # Osama and # Baghdadi ? Why do they need to know who was more radical,,,,,
DhavalM99098315,10/29/2019 9:01,0,1,# BaghdadiDiedLikeADog # BaghdadiKilled pic.twitter.com/dQC4rbGY05,,,# #,1.18903E+18,https://twitter.com/DhavalM99098315/status/1189029354413543424
NotSoIntel,10/29/2019 8:59,0,0,Question is: if # Erdogan will officially take over from # Baghdadi or he would be only running a proxy # Caliphate till # ISIS HQ relocates to # Ankara from # Raqqa # BaghdadiKilled # erdogan_ISIS_leader,,,# # # # # # # #,1.18903E+18,https://twitter.com/NotSoIntel/status/1189028863059193860
Alfak94U,10/29/2019 8:58,0,0,Now that’s a novel move. # BaghdadiKilled ⁦ @ gtconway3d⁩ ⁦ @ jaketapper⁩ ⁦ @ MalcolmNance⁩ ⁦ @ maddow⁩https://www.theguardian.com/world/2019/oct/28/syrian-kurds-baghdadi-underpants-dna-test?CMP=Share_iOSApp_Other …,,@ @ @ @,#,1.18903E+18,https://twitter.com/Alfak94U/status/1189028683396333569
trndngnow,10/29/2019 8:56,0,1,अमेरिका में राष्ट्रपति चुनाव है..... किन्तु,,,,,
PrashantSinghJi,10/29/2019 8:53,0,1,Shame on you @ ABPNews This is the level of journalism ? एक आतंकवादी की इतनी तारीफ़ ? कभी देश के जवानों के बारे में इतना लिखा ? क्या पसंद है ,,,,,
anupayush,10/29/2019 8:53,0,0,ट्रंप ने शेयर की अमेरिकी सेना के कुत्ते की तस्वीर,,,,,
alampashton,10/29/2019 8:53,0,0,What about # BaghdadiKilled i think its his fifth death.,,,#,1.18903E+18,https://twitter.com/alampashton/status/1189027416108343296
pallavict,10/29/2019 8:52,3,5,Yeh dekho # Trump ne # Kejriwal ko proof diya Proof ke bina dil hain ki maanta nahin # BaghdadiKilled # Baghdadipic.twitter.com/EIYqvOik8e,,,# # # #,1.18903E+18,https://twitter.com/pallavict/status/1189027080110915584
NotSoIntel,10/29/2019 8:49,1,6,# BaghdadiKilled but a bigger threat looms large; # Erdogan is still there: the biggest terrorist around,,,,,
AB_arpit,10/29/2019 8:49,0,0,ब्रेकिंग - बगदादी अपने पीछे ४ बीवी,,,,,
Atul_Misra_,10/29/2019 8:45,0,6,. # बगदादी ने खुद को # बम से उड़ाया,,,,,
AmarUjalaNews,10/29/2019 8:43,38,338,ट्रंप ने शेयर की अमेरिकी सेना के कुत्ते की तस्वीर,,,,,
Babusaahab,10/29/2019 8:41,1,0,If I was @ POTUS I would have ended the address by saying,,,,,
BapuMDeshmukh1,10/29/2019 8:37,0,1,They will confused forever weather doggy called pure or impure for his actual holy work to finished terrorist. # BaghdadiKilled,,,#,1.18902E+18,https://twitter.com/BapuMDeshmukh1/status/1189023347432026112
_ensine,10/29/2019 8:32,2,1,अपनी बेटी की शादी के लिए देख लेता @ ABPNews # BaghdadiDiedLikeADog # BaghdadiKilled # muslims # islamhttps://twitter.com/ABPNews/status/1188795869010612224 …,,@,# # # #,1.18902E+18,https://twitter.com/_ensine/status/1189022199631372288
FEMADistrict9,10/29/2019 8:31,0,0,$19.99+SH # Baghdadi # AbuBakrAlBaghdadi # BaghdadiKilled # BaghdadiDiedLikeADog https://www.instagram.com/wovenrags/ pic.twitter.com/nqGNJSR8vM,,,# # # #,1.18902E+18,https://twitter.com/FEMADistrict9/status/1189021811435954176
_ensine,10/29/2019 8:28,0,0,@ BBCWorld @ BBC at its best # BaghdadiDiedLikeADog # BaghdadiKilled https://twitter.com/Imamofpeace/status/1188880811455590402 …,,@ @,# #,1.18902E+18,https://twitter.com/_ensine/status/1189021089680093184
JaiRGaikwad,10/29/2019 8:26,0,2,2017-2019 # Baghdadi आजतक 50 बार मारा जा चूका है # Fake_Media # BaghdadiDead # BaghdadiKilled,,,# # # #,1.18902E+18,https://twitter.com/JaiRGaikwad/status/1189020677862350848
FLNJ312,10/29/2019 8:26,0,0,Exactly!!! # BaghdadiDiedLikeADog # BaghdadiKilled pic.twitter.com/cA3dd4Mj1J,,,# #,1.18902E+18,https://twitter.com/FLNJ312/status/1189020642076700672
2BorNt2BLogical,10/29/2019 8:19,0,0,A victory lap seems like something Americans could do together. He is still the President & I don’t understand why you disrespect the office every single day of the week,,,,,
chicha74,10/29/2019 8:17,0,1,Guess @ realDonaldTrump is # Winning too much for the Democrats to handle # Distraction # LookASquirrel # BaghdadiKilled # Trump2020 # WalkAway # MAGACHALLENGE,,@,# # # # # # #,1.18902E+18,https://twitter.com/chicha74/status/1189018351273742337
MohanTh60760186,10/29/2019 8:02,0,0,# BaghdadiKilled is not a solution i think rather it will cause rise of many more Bagdadis .The world power need to cut the roots # killthecause,,,# #,1.18901E+18,https://twitter.com/MohanTh60760186/status/1189014537032228864
masruf2015,10/29/2019 8:00,0,0,ट्रम्प कह रहा है कि हमने ओबामा के चेले बगदादी को मार दिया है,,,,,
TheLallantop,10/29/2019 7:44,4,35,[ट्रंप ने कहा- वो कुत्ते की मौत मरा.] Baghdadi # BaghdadiKilled # BaghdadiDiedLikeADog # BaghdadiDead # BaghdadiKilled https://www.thelallantop.com/tehkhana/profile-of-abu-bakr-al-baghdadi-leader-of-islamic-state/ …,,,# # # #,1.18901E+18,https://twitter.com/TheLallantop/status/1189010048007069697
cartoonlka,10/29/2019 7:42,2,5,Cartoon by Sisil Fernando # BaghdadiKilled # BaghdadiDead # Baghdadi # ISIS # ISIL # AbuBakrAlBaghdadipic.twitter.com/AbagSy5Vze,,,# # # # # #,1.18901E+18,https://twitter.com/cartoonlka/status/1189009663007830017
MissDiagnosis,10/29/2019 7:37,9,22,The gift that keeps on giving # Baghdadi incriminated by his underwear. # BaghdadiKilled # Baghdadi # BaghdadiDiedLikeADoghttps://twitter.com/DalrympleWill/status/1188991139719737345 …,,,# # # #,1.18901E+18,https://twitter.com/MissDiagnosis/status/1189008411259822080
shuklaji__,10/29/2019 7:36,6,23,मेने अमेरिका का सारा न्यूज़ खंगाल मारा अमेरिका के बिपक्ष या बुद्धिजीवी ने ट्रम्प से बगदादी के मारने का सबूत नही मांगा और हमारे यहा #अल-बगदादी ढेर # BaghdadiKilled,,,# #,1.18901E+18,https://twitter.com/shuklaji__/status/1189007966290108422
shuklaji__,10/29/2019 7:34,14,63,ट्रंप ने कहा बगदादी ओर उसके तीन बच्चे कुत्ते की मौत मारे गए,,,,,
zasambhu,10/29/2019 7:31,0,0,"He died like a brave Suor"" screaming around and chased by a Kafir Dog. Caliphate phut gaya... OLA hu Uber... # BaghdadiDiedLikeADog # ISIS # BaghdadiKilled""",,,# # #,1.18901E+18,https://twitter.com/zasambhu/status/1189006937972604928
DevBainsla14,10/29/2019 7:22,0,0,Go to hell # BaghdadiDiedLikeADog # BaghdadiKilled # Baghdadi # BaghdadiIsDead pakistan sleep...... Warna sare mare jaogepic.twitter.com/gy4Hha07k9,,,# # # #,1.189E+18,https://twitter.com/DevBainsla14/status/1189004543012397056
njkjfamily,10/29/2019 7:15,0,0,# Baghdadi # BaghdadiKilled # trump # ImpeachDonaldTrumpNOW # Pelosi # PelosiMeltdown # PelosiOwnsTrump # PelosiDems # SomePeopleDidSomethingpic.twitter.com/vkJx50mdGX,,,# # # # # # # # #,1.189E+18,https://twitter.com/njkjfamily/status/1189002776031854592
TV9Bharatvarsh,10/29/2019 7:10,0,12,# Baghdadi के बाद # AlMuhajir बनने वाला था # ISIS का सरगना,,,,,
Live_Hindustan,10/29/2019 6:59,3,14,आईएस सरगना बगदादी को मार गिराने वाली अमेरिका के डेल्टा कमांडो आतंकवादी ठिकानों को नेस्तानाबूद करने में माहिर हैं,,,,,
ROSHAMB0,10/29/2019 6:52,0,0,@ SpeakerPelosi # AdamSchiff # Baghdadi # BaghdadiKilled # ISIShttps://twitter.com/charliekirk11/status/1188962569182052352 …,,@,# # # #,1.189E+18,https://twitter.com/ROSHAMB0/status/1188996995622547456
Kriston33,10/29/2019 6:52,0,1,That some power tweet ..hehe what a move !! # BaghdadiKilled # BaghdadiDiedLikeADog,,,# #,1.189E+18,https://twitter.com/Kriston33/status/1188996916538937345
CobraKaiX3,10/29/2019 6:42,0,0,@ MaxBoot be like “Hitler wasn’t a coward! He was a real man who committed suicide rather than be killed by the allies!” # Baghdadi # BaghdadiDiedLikeADog # BaghdadiKilled,,@,# # #,1.18899E+18,https://twitter.com/CobraKaiX3/status/1188994533125754882
TheRealRJo,10/29/2019 6:41,0,2,BEST TWEET OF THE WEEK!! # BaghdadiKilled # BaghdadiDiedLikeADog # Baghdadihttps://twitter.com/sean_spicier/status/1188520767815860225 …,,,# # #,1.18899E+18,https://twitter.com/TheRealRJo/status/1188994284671983616
miksu2006,10/29/2019 6:39,0,4,Heads of # democRATS / # liberals r exploding on # CNN &all around the country..they don't want to put another feather in @ POTUS' cap bc they can't stand when he succeeds at ANYTHING! They know they don't have 1 can'tidate that can beat him even BEFORE # BaghdadiKilled ! # walkaway,,@,# # # # #,1.18899E+18,https://twitter.com/miksu2006/status/1188993648932904960
ShivansMaharaj,10/29/2019 6:22,2,3,You can all see how these violent Islamic Pakistan protests in the name of demonstrations,,,,,
Sara_BARISTA,10/29/2019 6:18,0,0,Hellfire to the fake,,,,,
shaijuttan,10/29/2019 6:16,3,15,ഇനി ഇത് കൊണ്ടാവുമോ ബാഗ്ദാതി അനുയായികൾ നായകളെ വെട്ടി പ്രതികാരം തീർക്കുന്നത് # FightAgainstTerror # BaghdadiKilled,,,# #,1.18899E+18,https://twitter.com/shaijuttan/status/1188988022928236544
lucas_and_mew,10/29/2019 6:11,0,0,# ThePowerpuffGirls,,,,,
naveen1st,10/29/2019 6:10,0,1,# BaghdadiDiedLikeADog # BaghdadiKilled @ realDonaldTrump if this guy is sure at least 1% this time,,,,,
AppalachiaGal,10/29/2019 6:08,0,0,The Hero SOF dog has been identified. Name is “Classie” short for Classified # BaghdadiKilled pic.twitter.com/BUvz3sYKe1,,,#,1.18899E+18,https://twitter.com/AppalachiaGal/status/1188985972870074370
mitchelle_mrym,10/29/2019 6:07,14,19,Oh Can really feel pain of Indians since your partner # BaghdadiKilled But in panic & anger you forgot he wasn’t killed in USA! Seems like you really got hurt because your JIHADI AGENDA has been killed finally WOOHOO https://twitter.com/ashokepandit/status/1188520583031451649?s=21 …pic.twitter.com/SoKlQBkocE,,,#,1.18899E+18,https://twitter.com/mitchelle_mrym/status/1188985580920692737
atulonerocker,10/29/2019 5:59,0,0,# BaghdadiKilled just before Trump’s impeachment. Why am I not surprised.,,,#,1.18898E+18,https://twitter.com/atulonerocker/status/1188983683484549122
LegioCyber,10/29/2019 5:40,0,0,Can't argue with the logic here,,,,,
SweetTInTexas,10/29/2019 5:30,0,1,I don’t know this dogs name but it’s a hero in my book! # BaghdadiKilled # ISISleaderDead # USSpecialForces # DonaldTrump # Trump2020 # HesMyPresident @ POTUShttps://twitter.com/realDonaldTrump/status/1188909031403900928 …,,@,# # # # # #,1.18898E+18,https://twitter.com/SweetTInTexas/status/1188976358275342343
servicedogfp,10/29/2019 5:25,0,1,Hero military working dogs bravely took the lead in US military raid https://wamiz.co.uk/news/16456/hero-dogs-bravely-took-the-lead-in-us-military-raid … # Army # Baghdadiraid # BaghdadiKilled # K9 # MWD,,,# # # # #,1.18898E+18,https://twitter.com/servicedogfp/status/1188975074721837057
guyzlkeme,10/29/2019 5:25,0,6,Trish,,,,,
CholericCleric,10/29/2019 5:22,0,3,He was called Baqr and not Baqri or Baqra because he didn't want to be tied down as one of the stereotypical heteronormative genders. # BaghdadiKilled # Baqr,,,# #,1.18897E+18,https://twitter.com/CholericCleric/status/1188974335224172546
Trump_Girl_USA,10/29/2019 5:21,69,55,The first business day after # BaghdadiKilled and this is OUR @ POTUS page on @ Google This is why we are divided. Why is only negative narrative there? What does this say to the world? This divides us @ HouseDemocrats @ SenateDems & their complicit # MSM! # EnoughIsEnoughpic.twitter.com/PdArqEorng,,@ @ @ @,# # #,1.18897E+18,https://twitter.com/Trump_Girl_USA/status/1188974091031797761
SpiritofHo,10/29/2019 5:20,1,9,Don't be surprised that @ MaxBoot defends # ISIS. He and his neocon pals helped create ISIS to destablize Middle East. That is NOT a Trump talking point. It's a fact of U.S. foriegn policy. It is why he is an enemy,,,,,
BobKirsch,10/29/2019 5:19,0,0,This doesn't need to be embellished with some meme or fancy poster. ... We have some bad-ass warriors in our military. ... I'm proud to be their countrymen. # Baghdadi # BaghdadiDiedLikeADog # BaghdadiKilled,,,# # #,1.18897E+18,https://twitter.com/BobKirsch/status/1188973585198505984
Moonsugarlily,10/29/2019 5:18,0,0,If you have difficulty getting horrific pictures/videos out of your mind,,,,,
Nikkistark22,10/29/2019 5:18,0,0,Why do these guys always look like bad cartoon characters? Glad is dead! # BaghdadiKilled,,,#,1.18897E+18,https://twitter.com/Nikkistark22/status/1188973269770293255
ClampettJedi,10/29/2019 5:17,0,0,I have some fb friends who are *still* performing crazy mental gymnastics trying to support their beloved # ToddlerInChief @ POTUS 45. # BaghdadiKilled # LockHimUp # mondaythoughtspic.twitter.com/mOyUx2ftOA,,@,# # # #,1.18897E+18,https://twitter.com/ClampettJedi/status/1188973001217368064
Nikkistark22,10/29/2019 5:16,0,0,Is the # MSM on the same side of this horrifying terrorist # CNNExposed # ABC # MSNBC # Maddow # CBSNews # WashPostObituaries # wopost # NYTimes # latimes # BaghdadiKilled # ISISleaderDeadhttps://twitter.com/Liz_Wheeler/status/1188899169508839424 …,,,# # # # # # # # # # # #,1.18897E+18,https://twitter.com/Nikkistark22/status/1188972914579775491
